Date,PBW,PBD,SPY,URTH
2018-09-20,136.45512889727019,116.32353566131208,127.46866821696139,123.53682767235033
2018-09-21,135.9558928621527,116.819399000575,126.9270794130191,123.52601572121044
2018-09-24,134.7980416895271,116.57269066712404,126.59487582620281,123.12601275193258
2018-09-25,133.07996076968612,116.49024855016205,126.50210246909188,123.02832867446205
2018-09-26,132.12644559133614,115.33513019500792,126.20287800918216,123.07178903422896
2018-09-27,131.84566061754018,115.08471505212394,126.48230313162937,123.02834755428553
2018-09-28,131.60430353058166,115.33575884668474,126.49262298406492,122.7675936849002
2018-10-01,131.88656806415565,114.66797982529158,126.84003966038028,123.12706448085875
2018-10-02,132.6907451805284,114.66797982529158,126.78176199907298,122.69290198394245
2018-10-03,132.85030208525225,113.82764847234183,126.83664046780984,122.8673225953669
2018-10-04,129.78379296917427,111.70900443879093,126.05506951972394,121.75730338779107
2018-10-05,128.0171524495354,109.97740438716865,125.49536971889374,121.36113237483805
2018-10-08,128.3099157087196,109.53687408713013,125.49536971889374,120.93024144516882
2018-10-09,127.14228107718549,109.53687408713013,125.34944052111521,120.75269633061829
2018-10-10,123.85113904538763,106.26253887196388,122.18311961061674,118.17377267740021
2018-10-11,122.62949556496238,105.43911572397668,119.98046972412284,116.16555479916235
2018-10-12,124.21960431079637,106.73062299037663,121.36930706578705,117.28339261375828
2018-10-15,125.74134509979518,107.0038532990857,120.80760449576364,116.69611195007472
2018-10-16,128.9533364820103,109.54699341852627,122.99419346568301,118.71163126765178
2018-10-17,127.83300265010182,108.83840241784992,123.01203166526776,118.46182858630121
2018-10-18,126.11248293241503,108.12475457276678,121.56791751505796,117.03894865265131
2018-10-19,125.1304182804634,107.04658849617003,121.51365054696947,117.17751995599596
2018-10-22,124.13860523911755,107.22823703089838,121.06478530375682,116.93536234354598
2018-10-23,123.18042003821623,105.95897689456359,120.55570404694886,116.10308722746252
2018-10-24,119.97021973221848,103.29598375672737,117.52585189564965,113.17733584683025
2018-10-25,121.24237186185857,105.18277434227079,119.31990402765878,114.7863704132648
2018-10-26,120.56941753382884,103.79388017972002,117.56116578855973,113.40371175057986
2018-10-29,120.52424938045252,102.3854330069212,117.00713823981046,112.93636674888943
2018-10-30,123.68737992489669,104.67114511280849,118.48898614369014,114.36906898388139
