Date,TAN,SPY,URTH
2019-08-27,165.7412007329209,126.52295789897398,119.88522380376698
2019-08-28,166.23543340720403,127.2271164257048,120.27054109243021
2019-08-29,166.36658394991662,128.50440942190568,121.44462202946936
2019-08-30,166.39932239534383,128.45998588947026,121.69009579042279
2019-09-03,163.81340086373098,127.87526306461852,121.0779013950727
2019-09-04,165.93033351131606,129.01030413959643,122.26504166579188
2019-09-05,165.04188811533817,130.29584306948644,123.39398941309383
2019-09-06,163.78026441836852,130.37306436526714,123.5581503980731
2019-09-09,162.1999035677577,130.42339968491382,123.59093712205916
2019-09-10,161.48244204217858,130.39992305132802,123.84216128357997
2019-09-11,164.0977216115142,131.1110205867877,124.16903321183008
2019-09-12,162.52160049090912,131.45740145104142,124.70117684131064
2019-09-13,163.33931690657803,131.3910161739467,124.67957519592625
2019-09-16,165.3332342757751,131.08214085856173,124.39864366955442
2019-09-17,168.67982214412785,131.33534240318875,124.73453873458698
2019-09-18,168.5836352697072,131.3951565291191,124.79933915464858
2019-09-19,171.47195853763446,131.38850773109715,124.91804515142162
2019-09-20,171.69029818774604,130.4585263580919,124.49765127003671
2019-09-23,172.21939300036345,130.43505601998498,124.32445789758408
2019-09-24,168.59710165692744,129.65037528998232,123.72805468301293
2019-09-25,169.23957119862763,130.24185128581854,124.01168306898857
2019-09-26,165.66472012310643,130.03353358964247,124.06607559764278
2019-09-27,162.3545578248428,129.49481099586617,123.6311968073837
2019-09-30,162.90232146666298,129.95858728073216,123.8495817650638
2019-10-01,161.1658549555672,128.76911431851352,122.80360323244128
2019-10-02,160.23030245364927,127.00264560746182,120.82165756209749
2019-10-03,161.62939170302118,127.82192488578667,121.81020498514555
2019-10-04,163.7335676780734,129.17513488994473,122.80019316594912
2019-10-07,162.65248764192398,128.7436691162347,122.74511766065825
2019-10-08,162.6866414282878,127.19119607084414,121.31245791526682
2019-10-09,162.2086581827398,128.14083397538343,121.91621563081596
2019-10-10,163.5808695850206,128.8171828252509,122.79418101941353
2019-10-11,164.39305802719758,129.8538792671285,124.0941703868428
2019-10-14,164.4266207033504,129.7425026728173,123.92016708284608
2019-10-15,163.4199118283802,130.7325322571822,124.92245290893726
2019-10-16,162.09787999906348,130.57192901223905,124.70672973968131
2019-10-17,161.9261137903352,130.86683682082224,125.30125509873746
2019-10-18,161.7196462506069,130.42912044687912,124.86068337783591
2019-10-21,163.99550779340728,131.10703735307655,125.45431037546706
2019-10-22,160.927403099902,130.78036629715754,125.01440045471617
2019-10-23,162.0404455166819,131.07132482321808,125.499363213421
2019-10-24,162.69404213192865,131.23472025685712,125.76748848768932
2019-10-25,161.8738105213996,131.64421887733292,126.01350770064165
2019-10-28,162.2184017684441,132.20787327224355,126.41896784625466
2019-10-29,162.45878532890717,132.17820088796634,126.53586541494252
2019-10-30,158.62185206840024,132.48492666204004,126.90737425426147
2019-10-31,158.69310414528346,132.21859272465656,126.4420666999343
2019-11-01,159.01350340515884,133.1449858280639,127.49391310333391
2019-11-04,157.55857138609565,133.54675639378445,127.81984892144389
2019-11-05,159.10700602090878,133.43614171333687,127.85128759244844
2019-11-06,158.255936262137,133.45894317394237,127.88272437573893
2019-11-07,157.68369072332735,133.81061577270538,128.07124584499664
2019-11-08,157.82757891262636,134.05722807190955,128.17578114741445
2019-11-11,158.6178063269536,133.8662536648311,128.1131190895096
2019-11-12,158.154516365297,134.07705109749475,128.26986050085995
2019-11-13,156.32852201044795,134.10941553228946,128.2177004349662
2019-11-14,157.38614056395565,134.25499355900178,128.0819959687124
2019-11-15,157.89137802921246,134.97863136881853,128.9286618028205
2019-11-18,156.8141746529109,135.05239270255188,128.83537411194823
2019-11-19,157.649025672709,135.0235495703618,128.9183721735327
2019-11-20,156.67710180269458,134.65167008158338,128.44154095278847
2019-11-21,156.02279317427517,134.49077938503095,128.1915612758549
2019-11-22,156.3521021857612,134.71316713306922,128.400399726985
2019-11-25,157.70148525725608,135.48818762713094,129.19231608268313
2019-11-26,157.91738833018064,135.71475413513775,129.2750145204832
2019-11-27,159.46137504215886,136.16050823406704,129.83280909660695
2019-11-29,158.4359121408645,135.7896405445179,129.22675224284393
2019-12-02,158.04291245793823,134.9401661622535,128.59632583018973
2019-12-03,159.4059005481602,134.26951195957463,128.03470242201743
2019-12-04,160.29054314538317,134.88653788024328,128.71454921809467
2019-12-05,159.86963525948343,135.0663354702893,128.83920651554382
2019-12-06,161.2081385221985,135.9797404455682,129.58625075835488
2019-12-09,160.82579368868676,135.66532806911852,129.22579918304987
2019-12-10,160.37220275547418,135.55381854379965,129.18445456751775
2019-12-11,162.01958902271144,135.8376875999993,129.63942555869926
2019-12-12,163.98510521176047,136.6995893045169,130.2570256252945
2019-12-13,164.4247435934206,136.75950241222694,130.70715600013466
2019-12-16,166.545952834441,137.44650374383662,130.5747546562299
2019-12-17,166.9086320649991,137.46841526941367,130.27901641153534
2019-12-18,166.77722301498088,137.47467024116125,130.21765038856944
2019-12-19,167.4680157599034,137.8845696665515,130.5553863768478
2019-12-20,167.69669819514826,137.83159898615597,131.0347837823089
2019-12-23,167.72929346497344,137.98437241476907,131.00433126109652
2019-12-24,168.02254908902603,137.98748858611174,131.05509834137584
2019-12-26,169.1271629454364,138.51981476878302,131.43062127973576
2019-12-27,168.323821064787,138.49503707347154,131.60251022445013
2019-12-30,167.77312436354856,137.94371487188047,130.85556577502143
2019-12-31,168.09885228418696,138.18664461272914,131.31320529486536
2020-01-02,171.8001552881992,139.12183690211458,132.0724683129544
2020-01-03,171.14266941371596,138.36461355368232,131.2285053387829
2020-01-06,170.26022761309707,138.74611877137315,131.79593622817438
2020-01-07,171.1505257768632,138.4649410365687,131.53396934028473
2020-01-08,172.2220674014866,138.99789463931745,131.81682496745853
2020-01-09,173.68761534403612,139.67595955122422,132.39101627812585
2020-01-10,173.31883002379732,139.3881890142671,131.9903813510865
2020-01-13,175.53968524084917,140.07592375091,132.63398490492347
2020-01-14,176.44493340797573,139.92346149099572,132.4341402067046
2020-01-15,175.6076164498547,140.1494472008106,132.5743078013164
2020-01-16,176.39168859318883,140.98128575957824,133.3741509113024
2020-01-17,177.13974369102635,141.29253885322706,133.7113895230008
2020-01-21,177.1100486447628,141.09671888330428,133.18746070775313
2020-01-22,176.18907011031146,141.10879511221947,133.3663341153738
2020-01-23,176.51890703800103,141.2234824083541,133.28698265857642
2020-01-24,176.27982150737844,140.33417449922126,132.62183247887702
2020-01-27,171.9059421032346,138.73123347973157,130.91285873692655
2020-01-28,174.50619248456988,139.77915145451905,131.83812937874444
2020-01-29,175.48329078937664,139.69654889122558,131.8683518033377
2020-01-30,175.54376994857907,140.02108430682787,132.01942595430535
2020-01-31,172.7030367289527,138.20529395573976,130.29979698961353
2020-02-03,174.0716171514289,138.9481479169019,130.84210616907933
2020-02-04,179.01178469611582,140.47227555969673,132.62309534265347
2020-02-05,180.6784504332754,141.62707645350395,133.55300263723484
2020-02-06,181.74258309652978,141.9635619681514,133.90965074665067
2020-02-07,180.74657148525984,141.43059630531425,133.2482432657471
2020-02-10,181.89632055296713,142.17712862849925,133.75505251761078
2020-02-11,185.8747279997248,142.3504336071466,134.21975612008205
2020-02-12,190.65745550096048,142.9947107649321,134.72167732189976
2020-02-13,188.90992816403804,142.8880141094838,134.3985263013562
2020-02-14,188.4851873751096,143.04822551066854,134.52623752274212
2020-02-18,188.9917254980324,142.7905255398573,134.24169972767012
2020-02-19,197.05538824075512,143.26864905098915,134.6352858111977
2020-02-20,199.8045263991778,142.8578243935723,134.21384083391615
2020-02-21,197.20060825131625,141.82799768486421,133.51502282689276
2020-02-24,193.44785190567458,138.5114578041434,130.0458980165311
2020-02-25,189.82909063426052,135.4812428285337,127.36595076659924
2020-02-26,190.04062376937486,135.11342132879457,127.07053107583846
2020-02-27,186.32030769907252,130.62225271422795,123.33508263213805
2020-02-28,186.2654969102435,130.20209878361408,121.9060367551309
2020-03-02,187.69132756655972,134.53274961374655,125.87615525706393
2020-03-03,188.06980656979246,131.6695038897274,123.62365495898318
2020-03-04,191.81340837335418,135.87280642358908,127.43140358763023
2020-03-05,191.32016168474803,132.5486376633055,124.39758206175291
2020-03-06,187.53722222826025,130.8955264614087,122.83865886013537
2020-03-09,174.11531165456725,123.08607943119922,114.55515597625812
2020-03-10,177.7795714659136,128.26056868216372,119.0589031033747
2020-03-11,171.34452838749192,123.38572386502528,114.07911681103815
2020-03-12,157.0726518156768,113.8180076736228,103.64624421311701
2020-03-13,159.40787161624067,122.36663798344122,111.75104097459145
2020-03-16,143.3239524886649,111.42426444294674,100.37342214865976
2020-03-17,150.78009643526718,116.8234708714232,106.04155310699585
2020-03-18,141.5964229658794,111.76017858612319,100.47631032455963
2020-03-19,144.96720948273335,111.97267629730483,101.2289357052439
2020-03-20,143.88025296099423,107.10385931566987,97.9590276085365
2020-03-23,141.5505796131019,104.54703850033435,96.15224061539294
2020-03-24,155.051930165336,113.60736468321903,105.24854171190192
2020-03-25,159.7307578310883,115.10438277123845,107.04397119380562
2020-03-26,162.60954661845022,120.94336300257676,112.62922040507462
2020-03-27,154.54621618265756,117.96479727727373,109.59202222937085
2020-03-30,155.22703348729812,121.21236881346024,112.2153509095902
2020-03-31,155.58502932967252,119.72183031261577,111.32510930626654
2020-04-01,150.11535360313746,115.22134297856508,106.79540474387295
2020-04-02,152.92457819675425,117.52888231450305,108.85185467387019
2020-04-03,150.0697627405098,116.08346303833181,107.32412695432964
2020-04-06,158.04625158548285,122.8000844760111,113.63682112661277
2020-04-07,160.728990903051,122.90203250371773,113.81294314625146
2020-04-08,164.8183507286698,126.25887395228112,116.19898055855006
